dataset,sequence_id,relative_path,action,object_name,skill,clip_start_s,clip_end_s,tsne_x,tsne_y
Dongbu MoCap,20260330000166_1_1775007076#clip022,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip022,carry,Box_H_1,carry_box,21.99978,26.99973,15.677879333496094,-7.288033962249756
Dongbu MoCap,20260330000166_1_1775007076#clip023,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip023,carry,Box_H_1,carry_box,22.999769999999998,27.99972,15.286808967590332,-7.498379707336426
Dongbu MoCap,20260330000166_1_1775007076#clip024,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip024,carry,Box_H_1,carry_box,23.99976,28.99971,10.228310585021973,-15.321643829345703
Dongbu MoCap,20260330000166_1_1775007076#clip025,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip025,carry,Box_H_1,carry_box,24.99975,29.9997,15.224860191345215,-23.765939712524414
Dongbu MoCap,20260330000166_1_1775007076#clip026,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip026,carry,Box_H_1,carry_box,25.99974,30.99969,16.60320472717285,-30.06401824951172
Dongbu MoCap,20260330000166_1_1775007076#clip027,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip027,carry,Box_H_1,carry_box,26.99973,31.999679999999998,20.019079208374023,-71.22657012939453
Dongbu MoCap,20260330000166_1_1775007076#clip028,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip028,carry,Box_H_1,carry_box,27.99972,32.99967,6.277097702026367,-89.3339614868164
Dongbu MoCap,20260330000166_1_1775007076#clip029,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip029,carry,Box_H_1,carry_box,28.99971,33.99966,24.302934646606445,-47.49281311035156
Dongbu MoCap,20260330000166_1_1775007076#clip030,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip030,carry,Box_H_1,carry_box,29.9997,34.99965,23.78195571899414,-23.639564514160156
Dongbu MoCap,20260330000166_1_1775007076#clip031,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip031,carry,Box_H_1,carry_box,30.99969,35.99964,13.891337394714355,-18.396408081054688
Dongbu MoCap,20260330000166_1_1775007076#clip032,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip032,carry,Box_H_1,carry_box,31.999679999999998,36.999629999999996,10.713969230651855,-3.608772039413452
Dongbu MoCap,20260330000166_1_1775007076#clip033,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip033,carry,Box_H_1,carry_box,32.99967,37.99962,-7.1836161613464355,-8.522791862487793
Dongbu MoCap,20260330000166_1_1775007076#clip034,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip034,carry,Box_H_1,carry_box,33.99966,38.99961,10.786052703857422,-3.8930492401123047
Dongbu MoCap,20260330000166_1_1775007076#clip035,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip035,carry,Box_H_1,carry_box,34.99965,39.9996,4.7836432456970215,-17.81947898864746
Dongbu MoCap,20260330000166_1_1775007076#clip036,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip036,carry,Box_H_1,carry_box,35.99964,40.99959,14.204208374023438,-22.270484924316406
Dongbu MoCap,20260330000166_1_1775007076#clip037,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip037,carry,Box_H_1,carry_box,36.999629999999996,41.99958,18.120738983154297,-32.287628173828125
Dongbu MoCap,20260330000166_1_1775007076#clip038,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip038,carry,Box_H_1,carry_box,37.99962,42.99957,11.59479808807373,-66.94446563720703
Dongbu MoCap,20260330000166_1_1775007076#clip039,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip039,carry,Box_H_1,carry_box,38.99961,43.99956,21.197689056396484,-53.46493911743164
Dongbu MoCap,20260330000166_1_1775007076#clip040,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip040,carry,Box_H_1,carry_box,39.9996,44.99955,24.82343101501465,-30.287073135375977
Dongbu MoCap,20260330000166_1_1775007076#clip041,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip041,carry,Box_H_1,carry_box,40.99959,45.999539999999996,14.678780555725098,-18.264705657958984
Dongbu MoCap,20260330000166_1_1775007076#clip042,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip042,carry,Box_H_1,carry_box,41.99958,46.99953,11.13302230834961,-3.482546806335449
Dongbu MoCap,20260330000166_1_1775007076#clip043,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip043,carry,Box_H_1,carry_box,42.99957,47.99952,12.683858871459961,-5.39323091506958
Dongbu MoCap,20260330000166_1_1775007076#clip044,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip044,carry,Box_H_1,carry_box,43.99956,48.99951,11.019139289855957,-3.3310773372650146
Dongbu MoCap,20260330000166_1_1775007076#clip045,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip045,carry,Box_H_1,carry_box,44.99955,49.9995,14.454570770263672,-22.42535972595215
Dongbu MoCap,20260330000166_1_1775007076#clip046,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip046,carry,Box_H_1,carry_box,45.999539999999996,50.99949,17.77035140991211,-29.175518035888672
Dongbu MoCap,20260330000166_1_1775007076#clip047,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip047,carry,Box_H_1,carry_box,46.99953,51.99948,23.04745864868164,-48.27727127075195
Dongbu MoCap,20260330000166_1_1775007076#clip048,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip048,carry,Box_H_1,carry_box,47.99952,52.99947,9.197820663452148,-79.54541015625
Dongbu MoCap,20260330000166_1_1775007076#clip049,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip049,carry,Box_H_1,carry_box,48.99951,53.99946,23.300458908081055,-48.46714782714844
Dongbu MoCap,20260330000166_1_1775007076#clip050,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip050,carry,Box_H_1,carry_box,49.9995,54.999449999999996,23.922807693481445,-43.88357925415039
Dongbu MoCap,20260330000166_1_1775007076#clip051,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip051,carry,Box_H_1,carry_box,50.99949,55.99944,17.694931030273438,-18.29805564880371
Dongbu MoCap,20260330000166_1_1775007076#clip052,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip052,carry,Box_H_1,carry_box,51.99948,56.99943,18.092477798461914,-7.444746971130371
Dongbu MoCap,20260330000166_1_1775007076#clip053,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip053,carry,Box_H_1,carry_box,52.99947,57.99942,16.16018295288086,-5.317398548126221
Dongbu MoCap,20260330000166_1_1775007076#clip054,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip054,carry,Box_H_1,carry_box,53.99946,58.99941,17.02568817138672,-7.141648769378662
Dongbu MoCap,20260330000166_1_1775007076#clip055,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip055,carry,Box_H_1,carry_box,54.999449999999996,59.9994,20.903703689575195,-18.447309494018555
Dongbu MoCap,20260330000166_1_1775007076#clip056,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip056,carry,Box_H_1,carry_box,55.99944,60.99939,24.611318588256836,-22.39565086364746
Dongbu MoCap,20260330000166_1_1775007076#clip057,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip057,carry,Box_H_1,carry_box,56.99943,61.99938,24.606937408447266,-22.399978637695312
Dongbu MoCap,20260330000166_1_1775007076#clip058,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip058,carry,Box_H_1,carry_box,57.99942,62.99937,19.092927932739258,0.9564642906188965
Dongbu MoCap,20260330000166_1_1775007076#clip059,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775007076#clip059,carry,Box_H_1,carry_box,58.99941,63.999359999999996,10.855895042419434,0.40347620844841003
Dongbu MoCap,20260330000166_1_1775009756#clip000,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip000,carry,Box_H_1,carry_box,0.0,4.99995,-60.919254302978516,69.0177001953125
Dongbu MoCap,20260330000166_1_1775009756#clip001,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip001,carry,Box_H_1,carry_box,0.9999899999999999,5.99994,-55.0003776550293,64.48048400878906
Dongbu MoCap,20260330000166_1_1775009756#clip002,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip002,carry,Box_H_1,carry_box,1.9999799999999999,6.99993,-54.83340072631836,63.45115661621094
Dongbu MoCap,20260330000166_1_1775009756#clip003,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip003,carry,Box_H_1,carry_box,2.99997,7.9999199999999995,-43.94426345825195,49.49419403076172
Dongbu MoCap,20260330000166_1_1775009756#clip004,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip004,carry,Box_H_1,carry_box,3.9999599999999997,8.99991,20.944393157958984,12.381916999816895
Dongbu MoCap,20260330000166_1_1775009756#clip005,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip005,carry,Box_H_1,carry_box,4.99995,9.9999,21.223630905151367,12.044344902038574
Dongbu MoCap,20260330000166_1_1775009756#clip006,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip006,carry,Box_H_1,carry_box,5.99994,10.99989,10.149246215820312,-21.36320686340332
Dongbu MoCap,20260330000166_1_1775009756#clip007,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip007,carry,Box_H_1,carry_box,6.99993,11.99988,11.779898643493652,-45.83176040649414
Dongbu MoCap,20260330000166_1_1775009756#clip008,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip008,carry,Box_H_1,carry_box,7.9999199999999995,12.99987,10.125893592834473,-78.66366577148438
Dongbu MoCap,20260330000166_1_1775009756#clip009,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip009,carry,Box_H_1,carry_box,8.99991,13.99986,9.951370239257812,-78.96656036376953
Dongbu MoCap,20260330000166_1_1775009756#clip010,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip010,carry,Box_H_1,carry_box,9.9999,14.99985,23.724544525146484,-48.491905212402344
Dongbu MoCap,20260330000166_1_1775009756#clip011,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip011,carry,Box_H_1,carry_box,10.99989,15.999839999999999,23.979738235473633,-23.68878173828125
Dongbu MoCap,20260330000166_1_1775009756#clip012,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip012,carry,Box_H_1,carry_box,11.99988,16.99983,24.062360763549805,-23.66685676574707
Dongbu MoCap,20260330000166_1_1775009756#clip013,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip013,carry,Box_H_1,carry_box,12.99987,17.99982,18.59312629699707,-9.076074600219727
Dongbu MoCap,20260330000166_1_1775009756#clip014,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip014,carry,Box_H_1,carry_box,13.99986,18.99981,13.017705917358398,-10.782952308654785
Dongbu MoCap,20260330000166_1_1775009756#clip015,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip015,carry,Box_H_1,carry_box,14.99985,19.9998,-68.84028625488281,37.95482635498047
Dongbu MoCap,20260330000166_1_1775009756#clip016,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip016,carry,Box_H_1,carry_box,15.999839999999999,20.99979,-4.271535873413086,-6.35318660736084
Dongbu MoCap,20260330000166_1_1775009756#clip017,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip017,carry,Box_H_1,carry_box,16.99983,21.99978,13.101244926452637,-11.453587532043457
Dongbu MoCap,20260330000166_1_1775009756#clip018,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip018,carry,Box_H_1,carry_box,17.99982,22.999769999999998,13.995686531066895,-11.976301193237305
Dongbu MoCap,20260330000166_1_1775009756#clip019,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip019,carry,Box_H_1,carry_box,18.99981,23.99976,21.39763069152832,-21.699556350708008
Dongbu MoCap,20260330000166_1_1775009756#clip020,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip020,carry,Box_H_1,carry_box,19.9998,24.99975,25.02482795715332,-45.95481491088867
Dongbu MoCap,20260330000166_1_1775009756#clip021,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip021,carry,Box_H_1,carry_box,20.99979,25.99974,11.879911422729492,-78.72222137451172
Dongbu MoCap,20260330000166_1_1775009756#clip022,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip022,carry,Box_H_1,carry_box,21.99978,26.99973,9.795547485351562,-87.96530151367188
Dongbu MoCap,20260330000166_1_1775009756#clip023,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip023,carry,Box_H_1,carry_box,22.999769999999998,27.99972,27.41455841064453,-48.07646560668945
Dongbu MoCap,20260330000166_1_1775009756#clip024,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip024,carry,Box_H_1,carry_box,23.99976,28.99971,24.560161590576172,-30.268030166625977
Dongbu MoCap,20260330000166_1_1775009756#clip025,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip025,carry,Box_H_1,carry_box,24.99975,29.9997,26.08306121826172,-29.051700592041016
Dongbu MoCap,20260330000166_1_1775009756#clip026,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip026,carry,Box_H_1,carry_box,25.99974,30.99969,20.798603057861328,-4.1678643226623535
Dongbu MoCap,20260330000166_1_1775009756#clip027,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip027,carry,Box_H_1,carry_box,26.99973,31.999679999999998,12.300079345703125,-5.723526477813721
Dongbu MoCap,20260330000166_1_1775009756#clip028,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip028,carry,Box_H_1,carry_box,27.99972,32.99967,10.714666366577148,-4.470464706420898
Dongbu MoCap,20260330000166_1_1775009756#clip029,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip029,carry,Box_H_1,carry_box,28.99971,33.99966,11.83339786529541,-16.94546890258789
Dongbu MoCap,20260330000166_1_1775009756#clip030,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip030,carry,Box_H_1,carry_box,29.9997,34.99965,19.461017608642578,-25.70916748046875
Dongbu MoCap,20260330000166_1_1775009756#clip031,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip031,carry,Box_H_1,carry_box,30.99969,35.99964,24.393692016601562,-45.55595397949219
Dongbu MoCap,20260330000166_1_1775009756#clip032,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip032,carry,Box_H_1,carry_box,31.999679999999998,36.999629999999996,22.655658721923828,-28.282018661499023
Dongbu MoCap,20260330000166_1_1775009756#clip033,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip033,carry,Box_H_1,carry_box,32.99967,37.99962,23.456073760986328,-26.3413143157959
Dongbu MoCap,20260330000166_1_1775009756#clip034,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip034,carry,Box_H_1,carry_box,33.99966,38.99961,20.110584259033203,-5.023136138916016
Dongbu MoCap,20260330000166_1_1775009756#clip035,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip035,carry,Box_H_1,carry_box,34.99965,39.9996,15.453234672546387,-4.225543975830078
Dongbu MoCap,20260330000166_1_1775009756#clip036,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip036,carry,Box_H_1,carry_box,35.99964,40.99959,13.159638404846191,-3.9170875549316406
Dongbu MoCap,20260330000166_1_1775009756#clip037,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip037,carry,Box_H_1,carry_box,36.999629999999996,41.99958,17.545574188232422,-20.9659366607666
Dongbu MoCap,20260330000166_1_1775009756#clip038,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip038,carry,Box_H_1,carry_box,37.99962,42.99957,18.927820205688477,-24.578187942504883
Dongbu MoCap,20260330000166_1_1775009756#clip039,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip039,carry,Box_H_1,carry_box,38.99961,43.99956,26.758102416992188,-47.29060363769531
Dongbu MoCap,20260330000166_1_1775009756#clip040,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip040,carry,Box_H_1,carry_box,39.9996,44.99955,13.791204452514648,-75.14944458007812
Dongbu MoCap,20260330000166_1_1775009756#clip041,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip041,carry,Box_H_1,carry_box,40.99959,45.999539999999996,18.895170211791992,-62.389217376708984
Dongbu MoCap,20260330000166_1_1775009756#clip042,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip042,carry,Box_H_1,carry_box,41.99958,46.99953,27.035888671875,-33.42894744873047
Dongbu MoCap,20260330000166_1_1775009756#clip043,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip043,carry,Box_H_1,carry_box,42.99957,47.99952,24.668872833251953,-27.660615921020508
Dongbu MoCap,20260330000166_1_1775009756#clip044,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip044,carry,Box_H_1,carry_box,43.99956,48.99951,18.84847068786621,-7.870500564575195
Dongbu MoCap,20260330000166_1_1775009756#clip045,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip045,carry,Box_H_1,carry_box,44.99955,49.9995,14.905115127563477,-6.402860641479492
Dongbu MoCap,20260330000166_1_1775009756#clip046,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip046,carry,Box_H_1,carry_box,45.999539999999996,50.99949,15.011004447937012,-7.68992280960083
Dongbu MoCap,20260330000166_1_1775009756#clip047,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip047,carry,Box_H_1,carry_box,46.99953,51.99948,10.557107925415039,-16.925569534301758
Dongbu MoCap,20260330000166_1_1775009756#clip048,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip048,carry,Box_H_1,carry_box,47.99952,52.99947,18.76337242126465,-23.361146926879883
Dongbu MoCap,20260330000166_1_1775009756#clip049,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip049,carry,Box_H_1,carry_box,48.99951,53.99946,21.851831436157227,-49.29723358154297
Dongbu MoCap,20260330000166_1_1775009756#clip050,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip050,carry,Box_H_1,carry_box,49.9995,54.999449999999996,11.771690368652344,-78.14423370361328
Dongbu MoCap,20260330000166_1_1775009756#clip051,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip051,carry,Box_H_1,carry_box,50.99949,55.99944,23.769432067871094,-49.6241340637207
Dongbu MoCap,20260330000166_1_1775009756#clip052,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip052,carry,Box_H_1,carry_box,51.99948,56.99943,18.253416061401367,-24.947587966918945
Dongbu MoCap,20260330000166_1_1775009756#clip053,box_mocap/move_case1/data_MWV/seat12/MWVOPT_20260330000166/20260330000166_1_1775009756#clip053,carry,Box_H_1,carry_box,52.99947,57.99942,15.403741836547852,-21.016685485839844
